Ranking,Team,Games_played,Wins,Draws,Loses,Goals_scored,Goals_against,Points,Expected_goals_scored,Expected_goals_against,Expected_points,League
1,Manchester City,19,16,2,1,45,13,50,40.45-4.55,13.39+0.39,43.50-6.50,EPL
2,Tottenham,19,10,4,5,34,20,34,31.17-2.83,20.44+0.44,35.29+1.29,EPL
3,Manchester United,19,10,4,5,30,19,34,25.01-4.99,27.37+8.37,24.47-9.53,EPL
4,Chelsea,19,10,3,6,32,22,33,24.99-7.01,18.73-3.27,30.70-2.30,EPL
5,Liverpool,19,9,5,5,39,28,32,33.81-5.19,24.64-3.36,32.94+0.94,EPL
6,Burnley,19,7,7,5,20,22,28,16.05-3.95,28.15+6.15,19.52-8.48,EPL
7,Leicester,19,5,5,9,31,38,20,24.12-6.88,28.41-9.59,24.09+4.09,EPL
8,Bournemouth,19,4,6,9,19,31,18,16.59-2.41,34.74+3.74,14.84-3.16,EPL
9,Crystal Palace,19,4,6,9,16,28,18,21.08+5.08,31.32+3.32,23.69+5.69,EPL
10,Southampton,19,3,8,8,17,30,17,17.58+0.58,28.36-1.64,18.18+1.18,EPL
11,Arsenal,19,4,4,11,20,31,16,24.04+4.04,27.34-3.66,24.26+8.26,EPL
12,Newcastle United,19,4,4,11,18,30,16,20.63+2.63,31.36+1.36,18.63+2.63,EPL
13,West Ham,19,3,6,10,24,42,15,17.70-6.30,36.03-5.97,15.16+0.16,EPL
14,Everton,19,3,6,10,16,36,15,20.53+4.53,31.27-4.73,20.25+5.25,EPL
15,Watford,19,4,2,13,17,33,14,22.55+5.55,26.96-6.04,22.40+8.40,EPL
16,Huddersfield,19,3,5,11,12,33,14,14.35+2.35,30.44-2.56,14.60+0.60,EPL
17,West Bromwich Albion,19,3,4,12,10,27,13,14.18+4.18,27.84+0.84,16.59+3.59,EPL
18,Stoke,19,2,7,10,15,38,13,15.41+0.41,35.33-2.67,15.67+2.67,EPL
19,Swansea,19,2,6,11,11,32,12,9.70-1.30,35.12+3.12,9.48-2.52,EPL
20,Brighton,19,2,5,12,10,29,11,13.23+3.23,31.53+2.53,14.09+3.09,EPL
1,Barcelona,19,12,6,1,46,18,42,39.42-6.58,25.89+7.89,34.44-7.56,La liga
2,Atletico Madrid,19,11,4,4,28,14,37,22.71-5.29,19.84+5.84,27.08-9.92,La liga
3,Real Madrid,19,10,6,3,40,24,36,38.99-1.01,25.54+1.54,34.89-1.11,La liga
4,Valencia,19,9,4,6,29,22,31,22.18-6.82,26.65+4.65,22.98-8.02,La liga
5,Real Betis,19,8,2,9,25,30,26,20.39-4.61,29.13-0.87,20.28-5.72,La liga
6,Villarreal,19,7,4,8,22,28,25,22.02+0.02,30.23+2.23,20.75-4.25,La liga
7,Getafe,19,6,6,7,16,20,24,15.80-0.20,22.13+2.13,20.33-3.67,La liga
8,Girona,19,6,6,7,24,37,24,22.99-1.01,32.48-4.52,21.20-2.80,La liga
9,Eibar,19,6,5,8,18,31,23,19.08+1.08,27.42-3.58,21.70-1.30,La liga
10,Sevilla,19,6,2,11,18,36,20,23.02+5.02,30.97-5.03,21.35+1.35,La liga
11,Alaves,19,6,1,12,19,27,19,17.12-1.88,34.37+7.37,16.17-2.83,La liga
12,Espanyol,19,4,7,8,16,26,19,15.09-0.91,33.20+7.20,15.28-3.72,La liga
13,Levante,19,4,7,8,19,30,19,16.14-2.86,39.61+9.61,13.20-5.80,La liga
14,Athletic Club,19,4,5,10,22,33,17,26.94+4.94,31.15-1.85,23.88+6.88,La liga
15,Celta Vigo,19,5,2,12,25,37,17,19.03-5.97,35.23-1.77,14.85-2.15,La liga
16,Real Sociedad,19,4,4,11,19,30,16,21.36+2.36,30.75+0.75,20.17+4.17,La liga
17,Leganes,19,3,3,13,15,32,12,18.94+3.94,29.62-2.38,17.48+5.48,La liga
18,Deportivo La Coruna,19,2,5,12,16,43,11,18.29+2.29,36.36-6.64,17.06+6.06,La liga
19,Las Palmas,19,1,5,13,9,36,8,14.30+5.30,41.54+5.54,11.16+3.16,La liga
20,Malaga,19,1,2,16,10,34,5,14.42+4.42,35.09+1.09,12.62+7.62,La liga
1,Bayern Munich,17,13,1,3,36,13,40,29.97-6.03,17.96+4.96,31.82-8.18,Bundesliga
2,Schalke 04,17,8,4,5,26,22,28,22.34-3.66,20.54-1.46,24.25-3.75,Bundesliga
3,Bayer Leverkusen,17,7,5,5,29,25,26,23.79-5.21,21.55-3.45,25.83-0.17,Bundesliga
4,Borussia Dortmund,17,6,6,5,24,26,24,27.27+3.27,24.59-1.41,26.99+2.99,Bundesliga
5,RasenBallsport Leipzig,17,6,4,7,23,27,22,21.86-1.14,26.36-0.64,19.50-2.50,Bundesliga
6,Hertha Berlin,17,5,6,6,20,19,21,20.57+0.57,24.40+5.40,20.64-0.36,Bundesliga
7,Eintracht Frankfurt,17,6,3,8,19,26,21,14.08-4.92,23.92-2.08,16.48-4.52,Bundesliga
8,Augsburg,17,4,7,6,19,22,19,16.63-2.37,20.64-1.36,18.99-0.01,Bundesliga
9,Hoffenheim,17,4,6,7,28,32,18,24.06-3.94,28.46-3.54,20.15+2.15,Bundesliga
10,Werder Bremen,17,4,5,8,17,23,17,17.89+0.89,23.14+0.14,19.35+2.35,Bundesliga
11,VfB Stuttgart,17,5,2,10,18,27,17,18.53+0.53,23.30-3.70,20.31+3.31,Bundesliga
12,Wolfsburg,17,3,7,7,13,23,16,11.83-1.17,24.67+1.67,13.85-2.15,Bundesliga
13,Borussia M.Gladbach,17,4,4,9,19,32,16,21.02+2.02,32.11+0.11,17.97+1.97,Bundesliga
14,Hannover 96,17,2,6,9,16,29,12,17.05+1.05,32.74+3.74,13.79+1.79,Bundesliga
15,Mainz 05,17,2,6,9,16,31,12,13.25-2.75,28.19-2.81,13.78+1.78,Bundesliga
16,Hamburger SV,17,2,3,12,12,34,9,14.39+2.39,32.30-1.70,13.66+4.66,Bundesliga
17,Freiburg,17,1,6,10,15,39,9,14.84-0.16,29.17-9.83,13.48+4.48,Bundesliga
18,FC Cologne,17,2,2,13,15,40,8,17.64+2.64,36.60-3.40,12.01+4.01,Bundesliga
1,Juventus,19,14,4,1,41,16,46,25.04-15.96,15.17-0.83,33.82-12.18,Serie A
2,Napoli,19,14,4,1,34,11,46,30.35-3.65,13.19+2.19,39.27-6.73,Serie A
3,Roma,19,12,6,1,30,9,42,29.56-0.44,19.38+10.38,33.12-8.88,Serie A
4,Lazio,19,12,4,3,44,28,40,33.38-10.62,22.55-5.45,32.71-7.29,Serie A
5,Inter,19,9,7,3,29,14,34,26.98-2.02,21.91+7.91,28.39-5.61,Serie A
6,AC Milan,19,8,5,6,31,26,29,22.92-8.08,22.11-3.89,26.89-2.11,Serie A
7,Fiorentina,19,8,4,7,27,24,28,25.47-1.53,21.76-2.24,28.11+0.11,Serie A
8,Atalanta,19,7,6,6,27,21,27,32.64+5.64,18.92-2.08,34.33+7.33,Serie A
9,Torino,19,5,9,5,25,28,24,20.27-4.73,25.52-2.48,22.64-1.36,Serie A
10,Sassuolo,19,7,3,9,18,37,24,25.47+7.47,29.69-7.31,25.20+1.20,Serie A
11,Genoa,19,5,5,9,10,16,20,15.82+5.82,19.83+3.83,22.14+2.14,Serie A
12,Udinese,19,6,2,11,24,33,20,22.61-1.39,29.56-3.44,22.51+2.51,Serie A
13,Cagliari,19,5,3,11,15,31,18,15.47+0.47,30.18-0.82,16.99-1.01,Serie A
14,Bologna,19,5,2,12,15,26,17,17.42+2.42,23.99-2.01,21.18+4.18,Serie A
15,SPAL 2013,19,3,6,10,17,30,15,14.77-2.23,34.44+4.44,14.13-0.87,Serie A
16,Sampdoria,19,4,3,12,20,40,15,20.53+0.53,35.18-4.82,17.03+2.03,Serie A
17,Chievo,19,3,4,12,14,35,13,17.37+3.37,32.90-2.10,17.84+4.84,Serie A
18,Crotone,19,3,2,14,17,41,11,14.27-2.73,34.01-6.99,13.77+2.77,Serie A
19,Verona,19,2,3,14,16,43,9,17.76+1.76,42.60-0.40,13.85+4.85,Serie A
20,Benevento,19,1,1,17,10,44,4,14.24+4.24,39.64-4.36,12.50+8.50,Serie A
1,Paris Saint Germain,19,12,5,2,38,14,41,40.91+2.91,15.06+1.06,41.56+0.56,Ligue 1
2,Lyon,19,11,4,4,49,25,37,32.78-16.22,20.40-4.60,33.98-3.02,Ligue 1
3,Marseille,19,10,6,3,36,28,36,36.66+0.66,27.16-0.84,32.80-3.20,Ligue 1
4,Monaco,19,9,5,5,38,28,32,27.48-10.52,27.43-0.57,27.15-4.85,Ligue 1
5,Rennes,19,8,6,5,29,22,30,21.12-7.88,28.52+6.52,22.25-7.75,Ligue 1
6,Montpellier,19,6,9,4,16,14,27,17.60+1.60,20.36+6.36,24.83-2.17,Ligue 1
7,Bordeaux,19,7,3,9,26,25,24,22.47-3.53,24.31-0.69,24.40+0.40,Ligue 1
8,Nantes,19,6,6,7,21,24,24,17.83-3.17,20.92-3.08,24.51+0.51,Ligue 1
9,Saint-Etienne,19,7,3,9,15,23,24,19.13+4.13,26.69+3.69,21.60-2.40,Ligue 1
10,Nice,19,5,6,8,24,29,21,19.09-4.91,27.49-1.51,20.02-0.98,Ligue 1
11,Angers,19,4,7,8,19,24,19,21.59+2.59,22.38-1.62,25.02+6.02,Ligue 1
12,Amiens,19,4,4,11,11,23,16,10.45-0.55,29.54+6.54,12.77-3.23,Ligue 1
13,Guingamp,19,4,4,11,18,35,16,14.10-3.90,30.83-4.17,14.88-1.12,Ligue 1
14,Lille,19,4,2,13,17,40,14,16.55-0.45,34.07-5.93,14.05+0.05,Ligue 1
15,Metz,19,3,4,12,18,39,13,16.43-1.57,41.18+2.18,11.88-1.12,Ligue 1
16,Caen,19,3,3,13,10,33,12,17.47+7.47,25.80-7.20,20.94+8.94,Ligue 1
17,Dijon,19,2,6,11,20,45,12,17.03-2.97,36.96-8.04,13.59+1.59,Ligue 1
18,Toulouse,19,2,5,12,15,33,11,14.22-0.78,30.77-2.23,15.88+4.88,Ligue 1
19,Strasbourg,19,2,5,12,17,40,11,19.25+2.25,35.74-4.26,16.64+5.64,Ligue 1
20,Troyes,19,2,3,14,15,37,9,16.27+1.27,30.18-6.82,16.95+7.95,Ligue 1
