Ranking,Team,Games_played,Wins,Draws,Loses,Goals_scored,Goals_against,Points,Expected_goals_scored,Expected_goals_against,Expected_points,League
1,Manchester City,19,16,2,1,61,14,50,50.98-10.02,11.12-2.88,47.59-2.41,EPL
2,Arsenal,19,15,2,2,54,20,47,48.23-5.77,21.40+1.40,41.64-5.36,EPL
3,Manchester United,19,15,2,2,38,9,47,34.03-3.97,16.17+7.17,37.86-9.14,EPL
4,Liverpool,19,12,7,0,45,10,43,43.67-1.33,11.11+1.11,46.44+3.44,EPL
5,Tottenham,19,13,4,2,40,16,43,37.74-2.26,15.42-0.58,40.73-2.27,EPL
6,Chelsea,19,11,4,4,30,16,37,34.18+4.18,15.30-0.70,37.76+0.76,EPL
7,Everton,19,10,4,5,28,22,34,23.18-4.82,24.23+2.23,26.76-7.24,EPL
8,Brighton,19,7,8,4,24,25,29,23.98-0.02,21.56-3.44,26.76-2.24,EPL
9,Newcastle United,19,8,4,7,21,17,28,23.99+2.99,21.11+4.11,27.60-0.40,EPL
10,Leicester,19,7,6,6,25,22,27,26.16+1.16,20.95-1.05,31.76+4.76,EPL
11,West Ham,19,7,6,6,24,26,27,19.10-4.90,22.34-3.66,24.10-2.90,EPL
12,Watford,19,7,6,6,27,31,27,23.30-3.70,27.02-3.98,24.29-2.71,EPL
13,Crystal Palace,19,7,5,7,29,27,26,35.67+6.67,22.21-4.79,34.34+8.34,EPL
14,Burnley,19,7,5,7,16,17,26,16.72+0.72,24.00+7.00,21.48-4.52,EPL
15,Bournemouth,19,7,5,7,26,30,26,23.40-2.60,30.19+0.19,22.80-3.20,EPL
16,Huddersfield,19,6,5,8,16,25,23,17.78+1.78,22.78-2.22,22.24-0.76,EPL
17,Swansea,19,6,3,10,17,24,21,20.01+3.01,26.72+2.72,22.83+1.83,EPL
18,Stoke,19,5,5,9,20,30,20,21.35+1.35,30.21+0.21,20.50+0.50,EPL
19,Southampton,19,4,7,8,20,26,19,24.30+4.30,18.19-7.81,30.53+11.53,EPL
20,West Bromwich Albion,19,3,9,7,21,29,18,21,21.16-7.84,26.38+8.38,EPL
1,Barcelona,19,16,3,0,53,11,51,51.07-1.93,15.73+4.73,44.99-6.01,La liga
2,Atletico Madrid,19,12,6,1,30,8,42,27.58-2.42,15.64+7.64,34.52-7.48,La liga
3,Valencia,19,13,3,3,36,16,42,35.58-0.42,21.24+5.24,35.26-6.74,La liga
4,Real Madrid,19,12,4,3,54,20,40,52.30-1.70,19.56-0.44,45.10+5.10,La liga
5,Sevilla,19,11,5,3,31,22,38,38.47+7.47,23.06+1.06,37.26-0.74,La liga
6,Villarreal,19,11,3,5,35,22,36,33.65-1.35,24.00+2.00,34.21-1.79,La liga
7,Real Betis,19,10,4,5,35,31,34,26.33-8.67,20.63-10.37,30.23-3.77,La liga
8,Real Sociedad,19,10,3,6,47,29,33,34.99-12.01,20.38-8.62,35.67+2.67,La liga
9,Celta Vigo,19,8,8,3,34,23,32,35.56+1.56,22.45-0.55,33.97+1.97,La liga
10,Getafe,19,9,4,6,26,13,31,33.23+7.23,17.52+4.52,37.20+6.20,La liga
11,Leganes,19,9,4,6,19,19,31,20.32+1.32,19.15+0.15,27.10-3.90,La liga
12,Espanyol,19,8,6,5,20,16,30,26.49+6.49,20.17+4.17,29.40-0.60,La liga
13,Eibar,19,8,4,7,26,19,28,22.35-3.65,18.11-0.89,29.08+1.08,La liga
14,Alaves,19,9,1,9,21,23,28,20.76-0.24,23.83+0.83,22.86-5.14,La liga
15,Girona,19,8,3,8,26,22,27,29.11+3.11,19.12-2.88,31.82+4.82,La liga
16,Levante,19,7,6,6,25,28,27,28.06+3.06,25.50-2.50,28.62+1.62,La liga
17,Athletic Club,19,6,8,5,19,16,26,24.84+5.84,19.56+3.56,30.25+4.25,La liga
18,Deportivo La Coruna,19,4,6,9,22,33,18,31.49+9.49,24.52-8.48,32.10+14.10,La liga
19,Malaga,19,4,3,12,14,27,15,21.45+7.45,25.15-1.85,23.21+8.21,La liga
20,Las Palmas,19,4,2,13,15,38,14,23.57+8.57,32.89-5.11,19.89+5.89,La liga
1,Bayern Munich,17,14,2,1,56,15,44,46.58-9.42,12.67-2.33,41.70-2.30,Bundesliga
2,Hoffenheim,17,11,4,2,38,16,37,26.65-11.35,16.74+0.74,29.71-7.29,Bundesliga
3,Schalke 04,17,10,5,2,27,15,35,24.49-2.51,18.88+3.88,27.45-7.55,Bundesliga
4,VfB Stuttgart,17,10,4,3,18,9,34,19.38+1.38,16.05+7.05,26.36-7.64,Bundesliga
5,Borussia Dortmund,17,9,4,4,40,21,31,38.83-1.17,16.26-4.74,36.17+5.17,Bundesliga
6,RasenBallsport Leipzig,17,9,4,4,34,26,31,29.56-4.44,21.06-4.94,28.97-2.03,Bundesliga
7,Borussia M.Gladbach,17,9,4,4,28,20,31,30.22+2.22,19.98-0.02,30.96-0.04,Bundesliga
8,Bayer Leverkusen,17,8,5,4,29,19,29,33.19+4.19,15.37-3.63,35.71+6.71,Bundesliga
9,Eintracht Frankfurt,17,8,4,5,26,19,28,26.98+0.98,16.99-2.01,30.72+2.72,Bundesliga
10,Hannover 96,17,8,3,6,28,25,27,24.17-3.83,21.62-3.38,25.80-1.20,Bundesliga
11,Freiburg,17,7,6,4,17,17,27,22.14+5.14,16.49-0.51,27.34+0.34,Bundesliga
12,Werder Bremen,17,6,7,4,20,17,25,20.62+0.62,20.33+3.33,23.35-1.65,Bundesliga
13,Mainz 05,17,7,3,7,22,21,24,18.39-3.61,16.99-4.01,24.14+0.14,Bundesliga
14,Augsburg,17,6,4,7,24,24,22,25.64+1.64,20.18-3.82,26.91+4.91,Bundesliga
15,Hamburger SV,17,6,4,7,17,19,22,21.65+4.65,21.76+2.76,24.93+2.93,Bundesliga
16,Hertha Berlin,17,5,7,5,23,27,22,18.01-4.99,20.31-6.69,21.25-0.75,Bundesliga
17,Wolfsburg,17,3,8,6,23,25,17,20.27-2.73,24.76-0.24,20.95+3.95,Bundesliga
18,FC Cologne,17,3,5,9,20,30,14,23.86+3.86,30.57+0.57,20.17+6.17,Bundesliga
1,Juventus,19,16,1,2,45,8,49,34.19-10.81,13.40+5.40,39.69-9.31,Serie A
2,Napoli,19,14,3,2,43,18,45,40.11-2.89,12.08-5.92,42.96-2.04,Serie A
3,Sampdoria,19,12,3,4,36,20,39,32.61-3.39,27.08+7.08,29.84-9.16,Serie A
