Ranking,Team,Games_played,Wins,Draws,Loses,Goals_scored,Goals_against,Points,Expected_goals_scored,Expected_goals_against,Expected_points,League
1,Manchester City,38,32,4,2,106,27,100,91.43-14.57,24.51-2.49,91.09-8.91,EPL
2,Manchester United,38,25,6,7,68,28,81,59.04-8.96,43.54+15.54,62.33-18.67,EPL
3,Tottenham,38,23,8,7,74,36,77,68.91-5.09,35.86-0.14,76.02-0.98,EPL
4,Liverpool,38,21,12,5,84,38,75,77.49-6.51,35.75-2.25,79.38+4.38,EPL
5,Chelsea,38,21,7,10,62,38,70,59.16-2.84,34.03-3.97,68.46-1.54,EPL
6,Arsenal,38,19,6,13,74,51,63,72.27-1.73,48.75-2.25,65.90+2.90,EPL
7,Burnley,38,14,12,12,36,39,54,32.77-3.23,52.16+13.16,41.00-13.00,EPL
8,Everton,38,13,10,15,44,58,49,43.71-0.29,55.50-2.50,47.00-2.00,EPL
9,Leicester,38,12,11,15,56,60,47,50.29-5.71,49.36-10.64,55.85+8.85,EPL
10,Newcastle United,38,12,8,18,39,47,44,44.63+5.63,52.47+5.47,46.24+2.24,EPL
11,Crystal Palace,38,11,11,16,45,55,44,56.75+11.75,53.54-1.46,58.03+14.03,EPL
12,Bournemouth,38,11,11,16,45,61,44,39.99-5.01,64.93+3.93,37.64-6.36,EPL
13,West Ham,38,10,12,16,48,68,42,36.80-11.20,58.37-9.63,39.26-2.74,EPL
14,Watford,38,11,8,19,44,64,41,45.85+1.85,53.98-10.02,46.69+5.69,EPL
15,Brighton,38,9,13,16,34,54,40,37.21+3.21,53.08-0.92,40.85+0.85,EPL
16,Huddersfield,38,9,10,19,28,58,37,32.13+4.13,53.22-4.78,36.84-0.16,EPL
17,Southampton,38,7,15,16,37,56,36,41.88+4.88,46.56-9.44,48.72+12.72,EPL
18,Swansea,38,8,9,21,28,56,33,29.71+1.71,61.83+5.83,32.31-0.69,EPL
19,Stoke,38,7,12,19,35,68,33,36.75+1.75,65.54-2.46,36.17+3.17,EPL
20,West Bromwich Albion,38,6,13,19,31,56,31,35.18+4.18,48.99-7.01,42.96+11.96,EPL
1,Barcelona,38,28,9,1,99,29,93,90.49-8.51,41.62+12.62,79.44-13.56,La liga
2,Atletico Madrid,38,23,10,5,58,22,79,50.29-7.71,35.48+13.48,61.60-17.40,La liga
3,Real Madrid,38,22,10,6,94,44,76,91.29-2.71,45.10+1.10,79.99+3.99,La liga
4,Valencia,38,22,7,9,65,38,73,57.76-7.24,47.89+9.89,58.23-14.77,La liga
5,Villarreal,38,18,7,13,57,50,61,55.67-1.33,54.24+4.24,54.96-6.04,La liga
6,Real Betis,38,18,6,14,60,61,60,46.72-13.28,49.76-11.24,50.51-9.49,La liga
7,Sevilla,38,17,7,14,49,58,58,61.49+12.49,54.03-3.97,58.61+0.61,La liga
8,Getafe,38,15,10,13,42,33,55,49.03+7.03,39.65+6.65,57.53+2.53,La liga
9,Eibar,38,14,9,15,44,50,51,41.42-2.58,45.53-4.47,50.79-0.21,La liga
10,Girona,38,14,9,15,50,59,51,52.10+2.10,51.60-7.40,53.03+2.03,La liga
11,Real Sociedad,38,14,7,17,66,59,49,56.35-9.65,51.13-7.87,55.84+6.84,La liga
12,Celta Vigo,38,13,10,15,59,60,49,54.59-4.41,57.68-2.32,48.83-0.17,La liga
13,Espanyol,38,12,13,13,36,42,49,41.58+5.58,53.37+11.37,44.68-4.32,La liga
14,Alaves,38,15,2,21,40,50,47,37.88-2.12,58.20+8.20,39.03-7.97,La liga
15,Levante,38,11,13,14,44,58,46,44.20+0.20,65.12+7.12,41.82-4.18,La liga
16,Athletic Club,38,10,13,15,41,49,43,51.79+10.79,50.71+1.71,54.13+11.13,La liga
17,Leganes,38,12,7,19,34,51,43,39.26+5.26,48.77-2.23,44.58+1.58,La liga
18,Deportivo La Coruna,38,6,11,21,38,76,29,49.78+11.78,60.87-15.13,49.16+20.16,La liga
19,Las Palmas,38,5,7,26,24,74,22,37.88+13.88,74.43+0.43,31.05+9.05,La liga
20,Malaga,38,5,5,28,24,61,20,35.88+11.88,60.24-0.76,35.83+15.83,La liga
1,Bayern Munich,34,27,3,4,92,28,84,76.55-15.45,30.64+2.64,73.52-10.48,Bundesliga
2,Schalke 04,34,18,9,7,53,37,63,46.83-6.17,39.42+2.42,51.69-11.31,Bundesliga
3,Hoffenheim,34,15,10,9,66,48,55,50.72-15.28,45.20-2.80,49.86-5.14,Bundesliga
4,Borussia Dortmund,34,15,10,9,64,47,55,66.10+2.10,40.86-6.14,63.16+8.16,Bundesliga
5,Bayer Leverkusen,34,15,10,9,58,44,55,56.98-1.02,36.92-7.08,61.54+6.54,Bundesliga
6,RasenBallsport Leipzig,34,15,8,11,57,53,53,51.42-5.58,47.42-5.58,48.47-4.53,Bundesliga
7,VfB Stuttgart,34,15,6,13,36,36,51,37.91+1.91,39.35+3.35,46.67-4.33,Bundesliga
8,Eintracht Frankfurt,34,14,7,13,45,45,49,41.06-3.94,40.91-4.09,47.19-1.81,Bundesliga
9,Borussia M.Gladbach,34,13,8,13,47,52,47,51.25+4.25,52.09+0.09,48.93+1.93,Bundesliga
10,Hertha Berlin,34,10,13,11,43,46,43,38.58-4.42,44.71-1.29,41.89-1.11,Bundesliga
11,Werder Bremen,34,10,12,12,37,40,42,38.51+1.51,43.47+3.47,42.70+0.70,Bundesliga
12,Augsburg,34,10,11,13,43,46,41,42.26-0.74,40.82-5.18,45.90+4.90,Bundesliga
13,Hannover 96,34,10,9,15,44,54,39,41.22-2.78,54.36+0.36,39.58+0.58,Bundesliga
14,Mainz 05,34,9,9,16,38,52,36,31.65-6.35,45.18-6.82,37.92+1.92,Bundesliga
15,Freiburg,34,8,12,14,32,56,36,36.98+4.98,45.66-10.34,40.82+4.82,Bundesliga
16,Wolfsburg,34,6,15,13,36,48,33,32.11-3.89,49.43+1.43,34.80+1.80,Bundesliga
17,Hamburger SV,34,8,7,19,29,53,31,36.04+7.04,54.06+1.06,38.59+7.59,Bundesliga
18,FC Cologne,34,5,7,22,35,70,22,41.50+6.50,67.17-2.83,32.18+10.18,Bundesliga
1,Juventus,38,30,5,3,86,24,95,59.23-26.77,28.58+4.58,73.51-21.49,Serie A
2,Napoli,38,28,7,3,77,29,91,70.45-6.55,25.27-3.73,82.23-8.77,Serie A
3,Roma,38,23,8,7,61,28,77,65.63+4.63,38.46+10.46,69.24-7.76,Serie A
4,Lazio,38,21,9,8,89,49,72,66.51-22.49,42.57-6.43,66.05-5.95,Serie A
5,Inter,38,20,12,6,66,30,72,60.83-5.17,37.33+7.33,65.25-6.75,Serie A
6,AC Milan,38,18,10,10,56,42,64,50.88-5.12,36.78-5.22,62.35-1.65,Serie A
7,Atalanta,38,16,12,10,57,39,60,64.29+7.29,36.50-2.50,69.88+9.88,Serie A
8,Fiorentina,38,16,9,13,54,46,57,54.12+0.12,42.15-3.85,60.41+3.41,Serie A
9,Torino,38,13,15,10,54,46,54,46.59-7.41,49.11+3.11,51.84-2.16,Serie A
10,Sampdoria,38,16,6,16,56,60,54,53.14-2.86,62.26+2.26,46.87-7.13,Serie A
11,Sassuolo,38,11,10,17,29,59,43,47.15+18.15,50.63-8.37,51.70+8.70,Serie A
12,Genoa,38,11,8,19,33,43,41,42.21+9.21,42.87-0.13,50.38+9.38,Serie A
13,Udinese,38,12,4,22,48,63,40,45.20-2.80,50.71-12.29,47.34+7.34,Serie A
14,Chievo,38,10,10,18,36,59,40,34.42-1.58,55.28-3.72,38.66-1.34,Serie A
15,Bologna,38,11,6,21,40,52,39,36.11-3.89,48.80-3.20,43.01+4.01,Serie A
16,Cagliari,38,11,6,21,33,61,39,38.27+5.27,57.91-3.09,40.41+1.41,Serie A
17,SPAL 2013,38,8,14,16,39,59,38,34.61-4.39,60.18+1.18,35.41-2.59,Serie A
18,Crotone,38,9,8,21,40,66,35,33.24-6.76,59.43-6.57,35.44+0.44,Serie A
19,Verona,38,7,4,27,30,78,25,33.76+3.76,72.71-5.29,31.06+6.06,Serie A
20,Benevento,38,6,3,29,33,84,21,38.21+5.21,77.31-6.69,30.09+9.09,Serie A
1,Paris Saint Germain,38,29,6,3,108,29,93,89.92-18.08,32.10+3.10,84.61-8.39,Ligue 1
2,Monaco,38,24,8,6,85,45,80,62.41-22.59,45.27+0.27,65.15-14.85,Ligue 1
3,Lyon,38,23,9,6,87,43,78,65.27-21.73,37.09-5.91,70.04-7.96,Ligue 1
4,Marseille,38,22,11,5,80,47,77,82.20+2.20,41.17-5.83,77.22+0.22,Ligue 1
5,Rennes,38,16,10,12,50,44,58,46.97-3.03,49.14+5.14,52.97-5.03,Ligue 1
6,Bordeaux,38,16,7,15,53,48,55,52.56-0.44,41.38-6.62,59.00+4.00,Ligue 1
7,Saint-Etienne,38,15,10,13,47,50,55,51.03+4.03,53.26+3.26,51.58-3.42,Ligue 1
8,Nice,38,15,9,14,53,52,54,47.36-5.64,45.90-6.10,53.88-0.12,Ligue 1
9,Nantes,38,14,10,14,36,41,52,39.80+3.80,36.26-4.74,55.95+3.95,Ligue 1
10,Montpellier,38,11,18,9,36,33,51,39.81+3.81,37.93+4.93,52.94+1.94,Ligue 1
11,Dijon,38,13,9,16,55,73,48,40.03-14.97,62.95-10.05,38.61-9.39,Ligue 1
12,Guingamp,38,12,11,15,48,59,47,41.86-6.14,50.51-8.49,45.97-1.03,Ligue 1
13,Amiens,38,12,9,17,37,42,45,31.47-5.53,51.70+9.70,38.94-6.06,Ligue 1
14,Angers,38,9,14,15,42,52,41,46.15+4.15,45.19-6.81,52.39+11.39,Ligue 1
15,Strasbourg,38,9,11,18,44,67,38,43.27-0.73,58.33-8.67,43.76+5.76,Ligue 1
16,Caen,38,10,8,20,27,52,38,41.17+14.17,47.83-4.17,48.04+10.04,Ligue 1
17,Lille,38,10,8,20,41,67,38,36.13-4.87,59.37-7.63,35.26-2.74,Ligue 1
18,Toulouse,38,9,10,19,38,54,37,43.29+5.29,54.45+0.45,47.20+10.20,Ligue 1
19,Troyes,38,9,6,23,32,59,33,37.13+5.13,52.47-6.53,43.55+10.55,Ligue 1
20,Metz,38,6,8,24,34,76,26,36.40+2.40,71.93-4.07,31.48+5.48,Ligue 1
